law,block_index,seed,n_paths,n_steps,elapsed_s,resumed
SBJTS_TARGET,0,2298822165,64,60,2.023,False
SBJTS_TARGET,1,347847082,64,60,0.393,False
SBJTS_TARGET,2,3000906930,64,60,0.412,False
SBJTS_TARGET,3,3844536094,64,60,0.465,False
SBJTS_TARGET,4,3470579155,64,60,0.477,False
SBJTS_TARGET,5,3390151376,64,60,0.435,False
MERTON_EMPIRICAL_GBM,0,3895066865,64,60,0.001,False
MERTON_EMPIRICAL_GBM,1,1891634594,64,60,0.0,False
MERTON_EMPIRICAL_GBM,2,691809909,64,60,0.0,False
MERTON_EMPIRICAL_GBM,3,436703483,64,60,0.0,False
MERTON_EMPIRICAL_GBM,4,1329141258,64,60,0.0,False
MERTON_EMPIRICAL_GBM,5,1360344013,64,60,0.0,False
